words@ad1994m	@ad1994m	107.783	108.049	в
words@ad1994m	@ad1994m	108.049	108.315	некоторых
words@ad1994m	@ad1994m	108.315	108.581	городах
words@ad1994m	@ad1994m	108.581	108.847	прям
words@ad1994m	@ad1994m	108.847	109.113	очень
words@ad1994m	@ad1994m	109.113	109.379	плохо
words@ad1994m	@ad1994m	109.379	109.645	себя
words@ad1994m	@ad1994m	109.645	109.911	чувствовал
words@ad1994m	@ad1994m	109.911	110.177	/
words@ad1994m	@ad1994m	110.177	110.451	/
words@ad1994m	@ad1994m	111.055	111.447	то
words@ad1994m	@ad1994m	111.447	111.839	есть
words@ad1994m	@ad1994m	111.839	112.231	я
words@ad1994m	@ad1994m	112.231	112.623	недавно
words@ad1994m	@ad1994m	112.623	113.015	сходил
words@ad1994m	@ad1994m	113.015	113.407	вот
words@ad1994m	@ad1994m	113.407	113.799	к
words@ad1994m	@ad1994m	113.799	114.191	врачу
words@ad1994m	@ad1994m	114.191	114.583	и
words@ad1994m	@ad1994m	114.583	114.975	/
words@ad1994m	@ad1994m	114.975	115.367	я
words@ad1994m	@ad1994m	115.367	115.759	мне
words@ad1994m	@ad1994m	115.759	116.151	#нрзб#
words@ad1994m	@ad1994m	116.927	117.16	к
words@ad1994m	@ad1994m	117.16	117.393	психиатру
words@ad1994m	@ad1994m	117.393	117.626	/
words@ad1994m	@ad1994m	117.626	117.859	/
words@ad1994m	@ad1994m	118.078	118.418	и
words@ad1994m	@ad1994m	118.418	118.758	мне
words@ad1994m	@ad1994m	118.758	119.098	да
words@ad1994m	@ad1994m	119.098	119.438	поставили
words@ad1994m	@ad1994m	119.438	119.778	диагноз
words@ad1994m	@ad1994m	119.778	120.118	мне
words@ad1994m	@ad1994m	120.118	120.458	сказали
words@ad1994m	@ad1994m	120.458	120.798	что
words@ad1994m	@ad1994m	120.798	121.138	у
words@ad1994m	@ad1994m	121.138	121.478	меня
words@ad1994m	@ad1994m	121.478	121.818	биполярное
words@ad1994m	@ad1994m	121.818	122.158	расстройство
words@ad1994m	@ad1994m	122.158	122.5	личности
words@ad1994m	@ad1994m	122.551	122.89	в
words@ad1994m	@ad1994m	122.89	123.229	общем
words@ad1994m	@ad1994m	123.229	123.568	основной
words@ad1994m	@ad1994m	123.568	123.907	симптом
words@ad1994m	@ad1994m	123.907	124.246	такой
words@ad1994m	@ad1994m	124.246	124.585	что
words@ad1994m	@ad1994m	124.585	124.924	у
words@ad1994m	@ad1994m	124.924	125.263	тебя
words@ad1994m	@ad1994m	125.263	125.602	ты
words@ad1994m	@ad1994m	125.602	125.941	большую
words@ad1994m	@ad1994m	125.941	126.28	часть
words@ad1994m	@ad1994m	126.28	126.619	жизни
words@ad1994m	@ad1994m	126.619	126.958	прибываешь
words@ad1994m	@ad1994m	126.958	127.297	в
words@ad1994m	@ad1994m	127.297	127.636	депрессии
